16111 1 40
28697 1 40
11518 1 40
5869 1 40
3264 1 40
1521 2 40
14318 1 40
13027 1 40
21304 1 40
24130 1 40
21305 1 40
2782 1 40
5206 1 40
18486 1 40
9133 1 40
6781 1 40
11094 2 40
21707 1 40
5239 1 40
29754 3 40
28804 1 40
14638 1 40
16117 2 40
25667 1 40
25688 1 40
6337 1 40
11078 1 40
12053 4 40
27299 3 40
2536 1 40
29759 1 40
27297 1 40
25624 2 40
2534 1 40
22028 1 40
9485 1 40
21137 1 40
29025 2 40
14313 1 40
28628 3 40
3630 1 40
7666 3 40
29272 1 40
18603 1 40
15738 1 40
11514 1 40
25996 1 40
22225 1 40
1190 1 40
21974 2 40
25620 1 40
2695 2 40
28857 1 40
13503 1 40
26256 1 40
24944 1 40
256 1 40
19584 2 40
18204 1 40
21452 1 40
2271 1 40
25522 2 40
25710 2 40
593 2 40
25088 4 40
8092 1 40
25912 1 40
18281 1 40
8090 1 40
18653 1 40
8443 1 40
2939 1 40
21622 1 40
25452 1 40
28253 4 40
853 1 40
25916 1 40
1473 1 40
15141 1 40
28985 1 40
15848 1 40
6040 1 40
23012 3 40
10667 3 40
29077 1 40
24863 1 40
17898 1 40
241 4 40
29034 1 40
17835 2 40
556 1 40
19590 1 40
9519 1 40
25721 1 40
21628 1 40
5446 1 40
29512 2 40
18927 1 40
100 3 40
1288 1 40
11479 1 40
29701 1 40
12202 1 40
1264 1 40
4960 1 40
25983 1 40
26822 1 40
26192 1 40
28378 1 40
25575 1 40
12964 3 40
105 1 40
19443 1 40
26315 1 40
21616 1 40
26924 1 40
9365 1 40
4861 1 40
14550 1 40
29095 2 40
16887 1 40
28705 1 40
6532 2 40
23403 4 40
21691 1 40
1055 1 40
14408 4 40
26060 1 40
16206 1 40
11782 1 40
15540 1 40
25565 1 40
28009 2 40
2323 1 40
17593 1 40
23587 2 40
29017 1 40
17922 1 40
25906 1 40
11620 1 40
25429 1 40
29648 1 40
3811 1 40
27703 1 40
13923 1 40
19662 1 40
628 2 40
29690 1 40
7070 1 40
29148 3 40
1274 1 40
237 1 40
6762 1 40
12073 2 40
12881 1 40
18270 1 40
6035 1 40
28001 1 40
22541 2 40
24559 1 40
18466 1 40
11083 2 40
29640 2 40
28975 3 40
3037 4 40
27811 1 40
3784 1 40
3766 2 40
17608 1 40
6016 1 40
23255 1 40
18082 1 40
343 1 40
1348 1 40
19419 1 40
28087 1 40
6573 2 40
26020 1 40
25708 1 40
4486 1 40
11109 3 40
20931 1 40
18312 1 40
25613 1 40
15720 1 40
25931 1 40
27612 1 40
16348 1 40
28882 4 40
6388 1 40
1820 1 40
9693 1 40
7013 1 40
21004 1 40
26801 1 40
24098 2 40
28883 4 40
3684 1 40
7600 1 40
10741 2 40
8025 1 40
26227 2 40
28881 4 40
5268 1 40
28820 1 40
21597 1 40
9348 1 40
29777 1 40
25117 1 40
11824 3 40
5146 1 40
10804 1 40
221 2 40
28744 1 40
2879 1 40
5144 1 40
12676 2 40
3340 1 40
20031 1 40
21648 2 40
